0.0212, 1.0014
0.0269, 1.0023
0.0518, 1.0084
0.0603, 1.0114
0.0611, 1.0116
0.0798, 1.0198
0.0818, 1.0207
0.0834, 1.0216
0.0949, 1.0278
0.1097, 1.0369
0.1562, 1.0733
0.1608, 1.0774
0.2306, 1.1514
0.2381, 1.1604
0.2437, 1.1672
0.2527, 1.1782
0.2618, 1.1896
0.3295, 1.2782
0.3571, 1.3149
0.3818, 1.3471
0.4156, 1.3896
0.4194, 1.3941
0.4265, 1.4027
0.4440, 1.4228
0.4830, 1.4637
0.4953, 1.4753
0.4982, 1.4778
0.5094, 1.4874
0.5443, 1.5129
0.5457, 1.5138
0.5625, 1.5231
0.5704, 1.5269
0.5842, 1.5325
0.6231, 1.5407
0.6406, 1.5406
0.6723, 1.5341
0.6789, 1.5317
0.7057, 1.5182
0.7137, 1.5131
0.7243, 1.5053
0.7772, 1.4525
0.7803, 1.4485
0.7854, 1.4421
0.8285, 1.3790
0.8311, 1.3747
0.8319, 1.3734
0.8343, 1.3694
0.8950, 1.2537
0.9769, 1.0615
0.9964, 1.0109
1.0034, 0.9924
1.0049, 0.9883
1.0089, 0.9777
1.0089, 0.9776
1.0165, 0.9573
1.0391, 0.8958
1.0479, 0.8716
1.0507, 0.8638
1.0850, 0.7680
1.1108, 0.6959
1.1201, 0.6697
1.1317, 0.6377
1.1340, 0.6311
1.1575, 0.5665
1.1961, 0.4638
1.2256, 0.3890
1.2513, 0.3272
1.2657, 0.2944
1.3081, 0.2057
1.3295, 0.1660
1.3445, 0.1404
1.3500, 0.1315
1.4083, 0.0545
1.4317, 0.0328
1.4348, 0.0304
1.4445, 0.0234
1.4494, 0.0202
1.4632, 0.0127
1.4877, 0.0043
1.4962, 0.0029
1.5023, 0.0024
1.5457, 0.0102
1.6068, 0.0556
1.6135, 0.0629
1.6386, 0.0943
1.6404, 0.0968
1.6493, 0.1095
1.7001, 0.1963
1.7039, 0.2036
1.7113, 0.2184
1.7406, 0.2810
1.7997, 0.4245
1.8046, 0.4373
1.8165, 0.4690
1.8171, 0.4705
1.8497, 0.5603
1.8887, 0.6720
1.9498, 0.8512
1.9759, 0.9275
1.9911, 0.9715
1.9991, 0.9945
2.0062, 1.0147
2.0072, 1.0177
2.0504, 1.1369
2.0729, 1.1961
2.0821, 1.2198
2.0880, 1.2344
2.0932, 1.2475
2.0943, 1.2502
2.1597, 1.3974
2.1705, 1.4190
2.2138, 1.4959
2.2151, 1.4979
2.2192, 1.5043
2.2208, 1.5068
2.2295, 1.5199
2.2312, 1.5224
2.2641, 1.5655
2.3163, 1.6142
2.3238, 1.6193
2.3285, 1.6221
2.3517, 1.6334
2.3768, 1.6402
2.4015, 1.6415
2.4342, 1.6355
2.4444, 1.6319
2.4502, 1.6294
2.4588, 1.6253
2.4822, 1.6116
2.4843, 1.6101
2.4925, 1.6042
2.4965, 1.6012
2.5059, 1.5937
2.5240, 1.5776
2.5279, 1.5739
2.5737, 1.5240
2.5890, 1.5052
2.6130, 1.4737
2.6326, 1.4464
2.6651, 1.3993
2.6733, 1.3871
2.6940, 1.3559
2.6999, 1.3469
2.7541, 1.2650
2.7794, 1.2276
2.8030, 1.1939
2.8041, 1.1923
2.8221, 1.1677
2.8594, 1.1202
2.9086, 1.0664
2.9209, 1.0549
2.9241, 1.0519
2.9712, 1.0161
3.0075, 0.9975
3.0113, 0.9960
3.0386, 0.9880
3.0523, 0.9858
3.0690, 0.9847
3.0846, 0.9853
3.0902, 0.9859
3.0923, 0.9861
3.1222, 0.9928
3.1745, 1.0170
3.2486, 1.0748
3.2702, 1.0958
3.3102, 1.1383
3.3133, 1.1418
3.3848, 1.2248
3.3976, 1.2398
3.4329, 1.2805
3.4614, 1.3119
3.4661, 1.3169
3.4825, 1.3337
3.4986, 1.3495
3.5111, 1.3610
3.5112, 1.3611
3.5578, 1.3981
3.5736, 1.4081
3.5781, 1.4107
3.5905, 1.4173
3.5906, 1.4173
3.5970, 1.4203
3.6037, 1.4232
3.6040, 1.4233
3.6135, 1.4269
3.6558, 1.4354
3.6663, 1.4356
3.6744, 1.4351
3.6816, 1.4343
3.6981, 1.4310
3.7039, 1.4293
3.7048, 1.4290
3.7242, 1.4214
3.7246, 1.4212
3.7419, 1.4118
3.7426, 1.4113
3.7487, 1.4074
3.7532, 1.4043
3.7553, 1.4029
3.7591, 1.4000
3.7854, 1.3776
3.7936, 1.3694
3.8493, 1.3000
3.8507, 1.2979
3.8524, 1.2954
3.8699, 1.2683
3.9013, 1.2141
3.9573, 1.1019
3.9591, 1.0981
3.9645, 1.0861
3.9767, 1.0588
3.9808, 1.0496
3.9924, 1.0228
4.0432, 0.8989
4.0734, 0.8215
4.0835, 0.7953
4.1017, 0.7477
4.1085, 0.7298
4.1980, 0.4976
4.2731, 0.3193
4.2778, 0.3092
4.2848, 0.2942
4.3101, 0.2424
4.3216, 0.2202
4.3248, 0.2143
4.3451, 0.1781
4.3876, 0.1131
4.4181, 0.0762
4.4242, 0.0699
4.4295, 0.0647
4.4972, 0.0232
4.5060, 0.0213
4.5323, 0.0205
4.5676, 0.0312
4.5765, 0.0360
4.5816, 0.0392
4.5845, 0.0411
4.6075, 0.0593
4.6169, 0.0684
4.6268, 0.0788
4.6294, 0.0818
4.6336, 0.0867
4.6497, 0.1069
